fp_rate	tp_rate
0	0.083150985
0	0.513513514
0	0.535211268
0	0.550724638
0	0.554744526
0	0.554744526
0	0.558823529
0	0.571428571
0	0.580152672
0	0.598425197
0	0.598425197
0	0.598425197
0	0.617886179
0	0.638655462
0	0.638655462
0	0.638655462
0	0.644067797
0	0.64957265
0	0.655172414
0.001251564	0.652173913
0.001248439	0.663716814
0.00249066	0.666666667
0.002484472	0.678899083
0.002484472	0.678899083
0.00248139	0.685185185
0.00248139	0.685185185
0.00248139	0.685185185
0.002475248	0.698113208
0.002475248	0.698113208
0.002469136	0.711538462
0.003694581	0.715686275
0.003690037	0.722772277
0.004914005	0.72
0.004907975	0.727272727
0.004895961	0.742268041
0.004889976	0.75
0.004889976	0.75
0.006105006	0.747368421
0.007317073	0.744680851
0.007317073	0.744680851
0.008526188	0.741935484
0.008526188	0.741935484
0.008526188	0.741935484
0.008505468	0.758241758
0.00969697	0.764044944
0.00969697	0.764044944
0.00969697	0.764044944
0.010895884	0.761363636
0.013285024	0.755813953
0.013285024	0.755813953
0.013268999	0.764705882
0.013253012	0.773809524
0.013237064	0.78313253
0.016766467	0.784810127
0.017942584	0.782051282
0.01911589	0.779220779
0.019070322	0.8
0.019070322	0.8
0.019070322	0.8
0.019070322	0.8
0.019047619	0.810810811
0.019002375	0.833333333
0.019002375	0.833333333
0.022485207	0.826086957
0.024793388	0.820895522
0.024764151	0.833333333
0.025912839	0.830769231
0.027027027	0.841269841
0.027027027	0.841269841
0.027027027	0.841269841
0.028135991	0.852459016
0.029274005	0.85
0.032672112	0.842105263
0.033760186	0.854545455
0.033760186	0.854545455
0.033760186	0.854545455
0.035962877	0.865384615
0.035962877	0.865384615
0.039306358	0.857142857
0.041522491	0.85106383
0.042626728	0.847826087
0.043728423	0.844444444
0.04696449	0.853658537
0.050228311	0.842105263
0.052213394	0.909090909
0.053227633	0.935483871
0.054298643	0.933333333
0.055367232	0.931034483
0.057497182	0.925925926
