fp_rate	tp_rate
0.013268999	0.764705882
0.013285024	0.773809524
0.013285024	0.78313253
0.010895884	0.738095238
0.00969697	0.717647059
0.00969697	0.705882353
0.00969697	0.722891566
0.008505468	0.714285714
0.008526188	0.714285714
0.008526188	0.714285714
0.008526188	0.722891566
0.007317073	0.731707317
0.007317073	0.731707317
0.006105006	0.686746988
0.004889976	0.654761905
0.004889976	0.662650602
0.004895961	0.65060241
0.004907975	0.646341463
0.004914005	0.646341463
0.003690037	0.638554217
0.003694581	0.634146341
0.002469136	0.614457831
0.002475248	0.578313253
0.002475248	0.573170732
0.00248139	0.573170732
0.00248139	0.573170732
0.00248139	0.555555556
0.002484472	0.555555556
0.002484472	0.518518519
0.00249066	0.49382716
0.001248439	0.475609756
0.001251564	0.463414634
0	0.426829268
0	0.390243902
0	0.379746835
0	0.371794872
0	0.358974359
0	0.346153846
0	0.320512821
